phi0,rho0,phi1,rho1,t
0.5235987755982988,0.6,2.6179938779914944,0.5,0.05
0.5235987755982988,0.6,2.6179938779914944,0.5,0.05
0.5235987755982988,0.6,2.6179938779914944,0.5,0.05
0.5235987755982988,0.6,2.6179938779914944,0.5,0.05
0.5235987755982988,0.6,2.6179938779914944,0.5,0.05
0.5235987755982988,0.6,2.6179938779914944,0.5,0.05
0.5235987755982988,0.6,2.6179938779914944,0.5,0.05
0.5235987755982988,0.6,2.6179938779914944,0.5,0.05
0.5235987755982988,0.6,2.6179938779914944,0.5,0.05
0.5235987755982988,0.6,2.6179938779914944,0.5,0.05
